t,ref,dist,PID_y,PID_u,Fuzzy_y,Fuzzy_u,DL_y,DL_u,QL_y,QL_u
26,0.6,0,0.5892332560636147,0.6116000235189925,0.5789417981650521,0.6290569824741895,0.5985852662939113,0.6040574824829429,0.6000144736623696,0.6
27,0.6,0,0.5907517800725739,0.6082148061756059,0.5825522790951871,0.6240728097917395,0.5989337552709464,0.6029413785068497,0.6000133157693801,0.6
28,0.6,0,0.5919554093157434,0.6057971456121929,0.5855436156723387,0.6199439863095823,0.5991897343413346,0.6021334936507982,0.6000122505078298,0.6
29,0.6,0,0.5929247357211666,0.6040719893835323,0.5880220172173667,0.6165236349851889,0.5993781753568534,0.601545247035321,0.6000112704672035,0.6
30,0.6,0,0.5937181459678623,0.6028423638048632,0.5900754634073555,0.6136900945922279,0.5995171261620185,0.6011150604214158,0.6000103688298273,0.6
31,0.6,0,0.59437807175127,0.6019672182604575,0.5917768361547404,0.6113426227496663,0.5996197126435314,0.6007994571809295,0.6000095393234411,0.6
32,0.6,0,0.5949354704751489,0.6013455557997561,0.5931865125489967,0.6093977910829436,0.5996955256107611,0.6005673747339026,0.6000087761775659,0.6
33,0.6,0,0.5954130381522081,0.6009050664383881,0.5943545119060611,0.6077865045123015,0.5997515971015906,0.6003964192461293,0.6000080740833607,0.6
34,0.6,0,0.5958275139507856,0.6005939856344263,0.5953222737481908,0.6064515349326814,0.5997930962488714,0.6002703364425995,0.6000074281566918,0.6
35,0.6,0,0.5961913338645577,0.6003752628729359,0.5961241302698307,0.6053454802686895,0.5998238299961367,0.6001772680896872,0.6000068339041565,0.6
36,0.6,0,0.5965138179487866,0.6002223849174171,0.5967885258724741,0.6044290753028729,0.599846605998288,0.600108530023028,0.6000062871918241,0.6
37,0.6,0,0.5968020232529379,0.6001163842506776,0.5973390272791291,0.6036697934556624,0.5998634970735093,0.6000577444385541,0.6000057842164783,0.6
38,0.6,0,0.597061357107064,0.600043696429514,0.5977951602370062,0.6030406892525916,0.5998760347026189,0.6000202174373797,0.6000053214791601,0.6
39,0.6,0,0.5972960185774712,0.5999946254871533,0.5981731026127054,0.6025194399332465,0.5998853510457776,0.5999924889921029,0.6000048957608274,0.6
40,0.6,0,0.5975093166798434,0.5999622448571243,0.5984862585521928,0.602087551856298,0.5998922834119705,0.5999720056231899,0.6000045040999613,0.6
41,0.6,0,0.5977039001648502,0.5999416102424289,0.598745734132093,0.6017297033009442,0.5998974512387442,0.5999568812466416,0.6000041437719644,0.6
42,0.6,0,0.5978819238249273,0.5999291959158142,0.5989607314156369,0.6014332001763927,0.599901312887324,0.5999457218459915,0.6000038122702074,0.6
43,0.6,0,0.5980451692030117,0.5999224910509803,0.5991388749190777,0.6011875252086458,0.5999042075848773,0.5999374966067402,0.6000035072885909,0.6
44,0.6,0,0.5981951325206234,0.5999197106731576,0.5992864820877253,0.6009839645271723,0.5999063864196633,0.5999314430197025,0.6000032267055037,0.6
45,0.6,0,0.5983330890151559,0.5999195887022797,0.5994087873883925,0.6008152983460665,0.5999080352580645,0.5999269968996778,0.6000029685690634,0.6
46,0.6,0,0.5984601402772268,0.5999212297910418,0.599510127975439,0.6006755447264732,0.5999092916952843,0.5999237407233111,0.6000027310835384,0.6
47,0.6,0,0.5985772493167025,0.599924003270673,0.5995940975216377,0.6005597473029224,0.5999102575965225,0.5999213654607627,0.6000025125968554,0.6
48,0.6,0,0.5986852667515421,0.5999274672521974,0.5996636736738846,0.6004637994247234,0.5999110083776247,0.5999196423602999,0.6000023115891071,0.6
49,0.6,0,0.5987849505572159,0.5999313143224644,0.5997213236568927,0.6003842984614856,0.599911599873933,0.5999184020814792,0.6000021266619786,0.6
50,0.6,0,0.5988769811289164,0.5999353327034722,0.5997690917720273,0.6003184250960749,0.599912073424667,0.5999175192581072,0.6000019565290203,0.6
51,0.6,0,0.5989619729172814,0.5999393784834788,0.5998086718956724,0.6002638433175921,0.599912459636727,0.599916901075417,0.6000018000066988,0.6
52,0.6,0,0.5990404835458732,0.5999433557746796,0.5998414675490733,0.6002186175631836,0.5999127811710813,0.5999164788161545,0.600001656006163,0.6
53,0.6,0,0.5991130210657954,0.5999472025449007,0.5998686416705191,0.6001811440671457,0.5999130548056457,0.599916201603137,0.6000015235256699,0.6
54,0.6,0,0.5991800498213414,0.5999508805101197,0.5998911578553279,0.6001500939806275,0.5999132929625679,0.599916031767172,0.6000014016436164,0.6
55,0.6,0,0.59924199527024,0.5999543679325733,0.5999098145263696,0.6001243662433483,0.5999135048389964,0.5999159414179243,0.6000012895121272,0.6
56,0.6,0,0.5992992480083987,0.5999576544972238,0.5999252732470656,0.600103048535069,0.5999136972442929,0.5999159099052016,0.6000011863511571,0.6
57,0.6,0,0.5993521671816674,0.599960737674257,0.5999380821810119,0.6000853849213941,0.5999138752199006,0.5999159219393876,0.6000010914430646,0.6
58,0.6,0,0.5994010834186182,0.5999636201435526,0.5999486955302201,0.600070749046115,0.5999140424982963,0.5999159661998453,0.6000010041276195,0.6
59,0.6,0,0.5994463013833342,0.5999663079775671,0.5999574896413336,0.6000586219191383,0.5999142018427999,0.5999160343045913,0.60000092379741,0.6
60,0.6,0,0.5994881020218956,0.5999688093653524,0.5999647763509965,0.6000485735121194,0.5999143552991711,0.59991612004744,0.6000008498936172,0.6
61,0.6,0,0.5995267445579249,0.5999711337222611,0.5999708140436384,0.6000402475090193,0.599914504381892,0.599916218833181,0.6000007819021279,0.6
62,0.6,0,0.5995624682792194,0.5999732910741075,0.5999758168138055,0.6000333486707269,0.599914650212091,0.59991632725938,0.6000007193499577,0.6
63,0.6,0,0.5995954941477848,0.5999752916362865,0.5999799620579506,0.6000276323656184,0.5999147936196628,0.5999164428067393,0.6000006618019611,0.6
64,0.6,0,0.5996260262584411,0.5999771455309885,0.5999833967648954,0.6000228958947609,0.5999149352188767,0.5999165636098375,0.6000006088578043,0.6
65,0.6,0,0.5996542531659208,0.5999788626019369,0.5999862427280329,0.600018971304114,0.5999150754643574,0.5999166882873839,0.60000056014918,0.6
66,0.6,0,0.5996803490964601,0.5999804522976623,0.5999886008640963,0.6000157194288263,0.5999152146925318,0.5999168158165366,0.6000005153372456,0.6
67,0.6,0,0.5997044750569569,0.5999819236026694,0.5999905547916426,0.6000130249584255,0.5999153531523171,0.5999169454398476,0.600000474110266,0.6
68,0.6,0,0.5997267798525432,0.5999832850017864,0.5999921737961432,0.6000107923478997,0.5999154910278411,0.599917076596366,0.6000004361814448,0.6
69,0.6,0,0.599747401021721,0.5999845444672648,0.5999935152868257,0.6000089424296734,0.5999156284552636,0.5999172088706225,0.6000004012869293,0.6
70,0.6,0,0.5997664656968793,0.5999857094611992,0.5999946268323861,0.6000074096063323,0.5999157655352316,0.5999173419548637,0.600000369183975,0.6
71,0.6,0,0.5997840913969745,0.5999867869480691,0.5999955478477591,0.6000061395245476,0.5999159023420999,0.599917475621085,0.6000003396492571,0.6
72,0.6,0,0.5998003867583116,0.5999877834136874,0.5999963109917559,0.6000050871477189,0.5999160389307582,0.5999176097003279,0.6000003124773167,0.6
73,0.6,0,0.599815452208687,0.5999887048880049,0.5999969433251344,0.6000042151589875,0.5999161753416856,0.5999177440673508,0.6000002874791314,0.6
74,0.6,0,0.5998293805895898,0.5999895569699714,0.5999974672701628,0.6000034926379892,0.599916311604693,0.5999178786292783,0.6000002644808009,0.6
75,0.6,0,0.5998422577306808,0.5999903448532269,0.5999979014057042,0.60000289396443,0.5999164477416936,0.5999180133171992,0.6000002433223369,0.6
76,0.6,0,0.5998541629803702,0.5999910733517977,0.5999982611260156,0.6000023979095963,0.5999165837687538,0.5999181480799449,0.60000022385655,0.6
77,0.6,0,0.5998651696959596,0.5999917469252374,0.5999985591866219,0.6000019868835946,0.5999167196976122,0.5999182828794832,0.6000002059480262,0.6
78,0.6,0,0.5998753456965124,0.5999923697028687,0.5999988061566216,0.6000016463116183,0.599916855536804,0.5999184176875083,0.6000001894721841,0.6
79,0.6,0,0.599884753681344,0.5999929455069065,0.5999990107934625,0.6000013641171317,0.5999169912924929,0.5999185524829151,0.6000001743144094,0.6
80,0.6,0,0.5998934516167842,0.5999934778743474,0.5999991803534768,0.6000011302936402,0.5999171269690879,0.5999186872499312,0.6000001603692567,0.6
81,0.6,0,0.5999014930936475,0.5999939700775747,0.5999993208491878,0.6000009365498644,0.5999172625696995,0.5999188219767323,0.6000001475397163,0.6
82,0.6,0,0.5999089276576487,0.5999944251436633,0.5999994372625116,0.6000007760157346,0.5999173980964769,0.5999189566544171,0.6000001357365391,0.6
83,0.6,0,0.5999158011148309,0.5999948458724262,0.5999995337214131,0.6000006429987808,0.5999175335508589,0.5999190912762499,0.600000124877616,0.6
84,0.6,0,0.5999221558139022,0.5999952348532218,0.5999996136462825,0.60000053278228,0.599917668933758,0.5999192258370973,0.6000001148874068,0.6
85,0.6,1,0.5759280309072379,0.5999955944805984,0.5759996798712202,0.6000004414580036,0.5938603629800865,0.8242013445128642,0.5960001056964142,0.85
86,0.6,1,0.5634534625921646,0.7199959269688204,0.5589038125678377,0.662301338578938,0.5886005688553897,0.8281129364213771,0.604320097240701,1.0
87,0.6,1,0.5556248843340195,0.7655962343653514,0.5442444004432607,0.675661161010626,0.5840882212446439,0.8321962237210675,0.5999744894614449,0.85
88,0.6,1,0.5514331750723662,0.8032285185633542,0.5322184717272932,0.6939202914936664,0.5801890564593262,0.8353486614281725,0.6079765303045293,1.0
89,0.6,1,0.5496922027716384,0.8296710213132694,0.5233850721495915,0.721800977006022,0.5767978711182602,0.8377992396960025,0.6033384078801669,0.85
90,0.6,1,0.549617164232591,0.8487542210335453,0.5156616213932083,0.7268419376948,0.5738341453420169,0.8397512989152206,0.5990713352497536,0.85
91,0.6,1,0.5506462535417087,0.8624807805965632,0.5084560360230312,0.7255918042659961,0.5712368039923315,0.8413673784709496,0.6071456284297733,1.0
92,0.6,1,0.5523845649577439,0.8723751462421498,0.5017701896851395,0.7248829567993845,0.5689600422096712,0.8427772817090781,0.6025739781553914,0.85
93,0.6,1,0.5545553039538107,0.8795188024085789,0.4955805144498937,0.7243992492445664,0.5669699204602003,0.8440835203412851,0.5983680599029602,0.85
94,0.6,1,0.5569659235860625,0.884688049356957,0.4898586235088761,0.7240568776871736,0.5652414528936265,0.8453640758780278,0.6064986151107233,1.0
95,0.6,1,0.5594837776196272,0.8884390990056218,0.48456885619256673,0.7237365320550084,0.5637560032111512,0.8466733318626856,0.6019787259018654,0.85
96,0.6,1,0.5620187291215956,0.891170671394231,0.47967876267144727,0.7234426871785742,0.5624989002495964,0.8480422161917156,0.5978204278297161,0.85
97,0.6,1,0.5645107215624332,0.8931686346320659,0.47519108072627025,0.7235827383567347,0.5614572798462165,0.8494786452073484,0.6059947936033387,1.0
98,0.6,1,0.5669209042529079,0.8946380051933673,0.4715122915958846,0.7292062165964494,0.5606182374879515,0.8509692503679024,0.6015152101150716,0.85
99,0.6,1,0.5692253013297234,0.8957258677131017,0.46848416107909013,0.733660660135954,0.5599674187530623,0.8524830033018373,0.5973939933058658,0.85
100,0.6,1,0.5714103007228356,0.8965377937436264,0.46583836989973104,0.7354117713371014,0.5594881633639469,0.8539767263891187,0.6056024738413965,1.0
