t,PID_n1,PID_n2,PID_u1,PID_u2,PID_spl,PID_adm,Fuzzy_n1,Fuzzy_n2,Fuzzy_u1,Fuzzy_u2,Fuzzy_spl,Fuzzy_adm,DL_n1,DL_n2,DL_u1,DL_u2,DL_spl,DL_adm,QL_n1,QL_n2,QL_u1,QL_u2,QL_spl,QL_adm
0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0
1,1.4317,1.4317,0.06152173913043474,0.06152173913043474,0.5,1.0,1.4063999999999999,1.4063999999999999,0.11652173913043475,0.11652173913043475,0.5,1.0,1.4423270971857356,1.4034553133024938,0.10095610481184883,0.06038648108330478,0.568492631902824,1.0,1.322,1.322,0.3,0.3,0.5,1.0
2,1.46984044,1.46984044,0.3736077391304347,0.3736077391304347,0.5,1.0,1.4232883852691216,1.4232883852691216,0.41980785811060467,0.41980785811060467,0.5,1.0,1.4781467190640387,1.4223147683552242,0.39194861473119247,0.4022273049839518,0.5145618682253613,1.0,1.3940000000000001,1.3940000000000001,0.3,0.3,0.5,1.0
3,1.509318608208,1.509318608208,0.3706996343304348,0.3706996343304348,0.5,1.0,1.4729287786675023,1.4729287786675023,0.3486078404383027,0.3486078404383027,0.5,1.0,1.4366304997907202,1.4466533301737758,0.4172459641978231,0.5331402476603655,0.3581355339468572,1.0,1.4660000000000002,1.4660000000000002,0.3,0.3,0.5,1.0
4,1.5275137440024256,1.5275137440024256,0.41696709609907456,0.41696709609907456,0.5,1.0,1.466309437225854,1.466309437225854,0.47091161182967006,0.47091161182967006,0.5,1.0,1.4958959923500423,1.4886421336774471,0.33567288747280993,0.3572525558685085,0.5087500495162258,1.0,1.4644000000000001,1.4644000000000001,0.46,0.46,0.5,1.0
5,1.5367978624070306,1.5367978624070306,0.4363388730334672,0.4363388730334672,0.5,1.0,1.4918327387734527,1.4918327387734527,0.4010363009834812,0.4010363009834812,0.5,1.0,1.3303546394724082,1.3132499796773736,0.787792716300416,0.8664105595206875,0.4686745157632319,1.0,1.4628,1.4628,0.46,0.46,0.5,1.0
6,1.5393996790420899,1.5393996790420899,0.4508656160107406,0.4508656160107406,0.5,1.0,1.490945982197837,1.490945982197837,0.4584494708165557,0.4584494708165557,0.5,1.0,1.4882959174302932,1.4881183511584368,0.09721651316362422,0.09232772718648811,0.48252589050750533,1.0,1.4612,1.4612,0.46,0.46,0.5,1.0
7,1.5382594267899992,1.5382594267899992,0.45900054837411025,0.45900054837411025,0.5,1.0,1.4967556572646887,1.4967556572646887,0.44389201072423545,0.44389201072423545,0.5,1.0,1.3435383680215405,1.284871826859452,0.8061331365688796,0.8634409367088114,0.5382468890784091,1.0,1.4596,1.4596,0.46,0.46,0.5,1.0
8,1.5350207304326384,1.5350207304326384,0.46356238338556655,0.46356238338556655,0.5,1.0,1.4976493763417242,1.4976493763417242,0.4545788715716619,0.4545788715716619,0.5,1.0,1.4966448919592417,1.4676327000588323,0.09152693101778389,0.09137003172769091,0.46478312429971846,1.0,1.458,1.458,0.46,0.46,0.5,1.0
9,1.5308211735595263,1.5308211735595263,0.4656512105937218,0.4656512105937218,0.5,1.0,1.4989188772129955,1.4989188772129955,0.453761954627671,0.453761954627671,0.5,1.0,1.346532222705673,1.2877494541144041,0.781490932459962,0.8489349701443791,0.49850752304289025,1.0,1.4564,1.4564,0.46,0.46,0.5,1.0
10,1.5263569940511417,1.5263569940511417,0.4662264771921406,0.4662264771921406,0.5,1.0,1.4994079400023521,1.4994079400023521,0.4554585591535727,0.4554585591535727,0.5,1.0,1.4993454781022229,1.4701150675226835,0.09360106111443799,0.0907927023533252,0.4663565321647407,1.0,1.4547999999999999,1.4547999999999999,0.46,0.46,0.5,1.0
11,1.5220444841134653,1.5220444841134653,0.46589676073407904,0.46589676073407904,0.5,1.0,1.4997354289213094,1.4997354289213094,0.4558098066979188,0.4558098066979188,0.5,1.0,1.3451379973906785,1.2909585323042088,0.7856928846502922,0.8520549760671406,0.49336011006569064,1.0,1.4531999999999998,1.4531999999999998,0.46,0.46,0.5,1.0
12,1.5181089609703777,1.5181089609703777,0.46507722422410347,0.46507722422410347,0.5,1.0,1.4998512170148632,1.4998512170148632,0.45627002588357857,0.45627002588357857,0.5,1.0,1.49812523502195,1.4727283043867396,0.09490546722427892,0.0904053812239765,0.46819941084390426,1.0,1.4515999999999998,1.4515999999999998,0.46,0.46,0.5,1.0
13,1.5146530414831185,1.5146530414831185,0.4640346075809983,0.4640346075809983,0.5,1.0,1.4999359870824145,1.4999359870824145,0.4563374563748886,0.4563374563748886,0.5,1.0,1.3466542519053317,1.293967265869646,0.7838436485538413,0.8470955289107505,0.49785022670987733,1.0,1.4499999999999997,1.4499999999999997,0.46,0.46,0.5,1.0
