t,PID_n1,PID_n2,PID_u1,PID_u2,PID_spl,PID_adm,Fuzzy_n1,Fuzzy_n2,Fuzzy_u1,Fuzzy_u2,Fuzzy_spl,Fuzzy_adm,DL_n1,DL_n2,DL_u1,DL_u2,DL_spl,DL_adm,QL_n1,QL_n2,QL_u1,QL_u2,QL_spl,QL_adm
14,1.5117025669300224,1.5117025669300224,0.4629358142458613,0.4629358142458613,0.5,1.0,1.4999624628789383,1.4999624628789383,0.45646418305103503,0.45646418305103503,0.5,1.0,1.4992288642374538,1.4755874558405089,0.09617602527739144,0.0903570131943803,0.4686085332374335,1.0,1.4483999999999997,1.4483999999999997,0.46,0.46,0.5,1.0
15,1.5092381030173552,1.5092381030173552,0.4618792693753632,0.4618792693753632,0.5,1.0,1.4999843341937318,1.4999843341937318,0.4564741927939273,0.4564741927939273,0.5,1.0,1.34842344788838,1.2963567973374401,0.7853819504036769,0.8451312557966325,0.5011197162776613,1.0,1.4467999999999996,1.4467999999999996,0.46,0.46,0.5,1.0
16,1.50721581781217,1.50721581781217,0.46091801131562,0.46091801131562,0.5,1.0,1.4999904926419627,1.4999904926419627,0.45650835119949784,0.45650835119949784,0.5,1.0,1.5009470795313253,1.4777905432881304,0.09717354662076538,0.08987563252350554,0.46957967402023143,1.0,1.4451999999999996,1.4451999999999996,0.46,0.46,0.5,1.0
17,1.5055809916123248,1.5055809916123248,0.4600757091300981,0.4600757091300981,0.5,1.0,1.499995971255722,1.499995971255722,0.4565098291005232,0.4565098291005232,0.5,1.0,1.3511998381877115,1.2984027179368272,0.786095900849123,0.8424585919659138,0.5044211263023399,1.0,1.4435999999999996,1.4435999999999996,0.46,0.46,0.5,1.0
18,1.5042764170452516,1.5042764170452516,0.4593577707979853,0.4593577707979853,0.5,1.0,1.4999975971224315,1.4999975971224315,0.4565182046375882,0.4565182046375882,0.5,1.0,1.5035473952460476,1.4797860692755735,0.0980882894518621,0.08945321403274126,0.4701623100147445,1.0,1.4419999999999995,1.4419999999999995,0.46,0.46,0.5,1.0
19,1.5032473355534866,1.5032473355534866,0.45875887280818467,0.45875887280818467,0.5,1.0,1.4999989898655302,1.4999989898655302,0.45651871142804645,0.45651871142804645,0.5,1.0,1.3545779165943248,1.3002141573922976,0.787083781021171,0.8401801114462174,0.5073549062333711,1.0,1.4403999999999995,1.4403999999999995,0.46,0.46,0.5,1.0
20,1.5024440739543505,1.5024440739543505,0.4582679599981217,0.4582679599981217,0.5,1.0,1.4999993920464554,1.4999993920464554,0.45652086482407567,0.45652086482407567,0.5,1.0,1.5065674046939805,1.4816698626116525,0.09897163488422223,0.08919098833531962,0.4702772384438047,1.0,1.4387999999999994,1.4387999999999994,0.46,0.46,0.5,1.0
21,1.5018231978054986,1.5018231978054986,0.4578714698888086,0.4578714698888086,0.5,1.0,1.4999997433769812,1.4999997433769812,0.4565209753684219,0.4565209753684219,0.5,1.0,1.3583250439641599,1.3019521290413703,0.7880490414704074,0.8379511635298158,0.5101433293965877,1.0,1.4371999999999994,1.4371999999999994,0.46,0.46,0.5,1.0
22,1.5013477450242432,1.5013477450242432,0.45755533213316363,0.45755533213316363,0.5,1.0,1.4999998462678992,1.4999998462678992,0.456521515454526,0.456521515454526,0.5,1.0,1.5096930519483605,1.4835949819393337,0.09991325880980739,0.08919356535940143,0.4698288262778856,1.0,1.4355999999999993,1.4355999999999993,0.46,0.46,0.5,1.0
23,1.5009869216981369,1.5009869216981369,0.4573061376654484,0.4573061376654484,0.5,1.0,1.4999999352457603,1.4999999352457603,0.45652154570030196,0.45652154570030196,0.5,1.0,1.362145839638147,1.3037252161200559,0.7890354685564372,0.8357840491163703,0.512878817204161,1.0,1.4339999999999993,1.4339999999999993,0.46,0.46,0.5,1.0
24,1.5007155131592116,1.5007155131592116,0.45711175769331575,0.45711175769331575,0.5,1.0,1.4999999611147987,1.4999999611147987,0.4565216828933943,0.4565216828933943,0.5,1.0,1.5126206648602403,1.4856383205470727,0.10096927981961312,0.08949174268232128,0.46885879509313155,1.0,1.4323999999999992,1.4323999999999992,0.46,0.46,0.5,1.0
25,1.500513173185369,1.500513173185369,0.45696160863878826,0.45696160863878826,0.5,1.0,1.499999983603029,1.499999983603029,0.45652169024297734,0.45652169024297734,0.5,1.0,1.3658077848755739,1.3056019974772917,0.7899776529480806,0.8336075710833266,0.5156591437415494,1.0,1.4307999999999992,1.4307999999999992,0.46,0.46,0.5,1.0
26,1.5003636919951189,1.5003636919951189,0.456846698239674,0.456846698239674,0.5,1.0,1.4999999901658008,1.4999999901658008,0.4565217248635399,0.4565217248635399,0.5,1.0,1.5151401755769904,1.4878300440860601,0.10217588551867501,0.09008403337222716,0.467460233428588,1.0,1.4291999999999991,1.4291999999999991,0.46,0.46,0.5,1.0
27,1.500254301605563,1.500254301605563,0.4567595443251213,0.4567595443251213,0.5,1.0,1.4999999958554988,1.4999999958554988,0.4565217267615259,0.4565217267615259,0.5,1.0,1.369144377545914,1.307607581464843,0.79082195569926,0.8313916544144216,0.5185292895013883,1.0,1.427599999999999,1.427599999999999,0.46,0.46,0.5,1.0
28,1.5001750492766364,1.5001750492766364,0.4566940268020143,0.4566940268020143,0.5,1.0,1.4999999975127052,1.4999999975127052,0.4565217355278123,0.4565217355278123,0.5,1.0,1.5171317424716781,1.4901546577550782,0.10354645971107741,0.09094388547153298,0.46575889617347516,1.0,1.425999999999999,1.425999999999999,0.46,0.46,0.5,1.0
29,1.5001182518852583,1.5001182518852583,0.45664521172038725,0.45664521172038725,0.5,1.0,1.4999999989514536,1.4999999989514536,0.4565217360027207,0.4565217360027207,0.5,1.0,1.3720594685215983,1.3097328018614673,0.7915161390153129,0.8291232736883626,0.5214884523737241,1.0,1.424399999999999,1.424399999999999,0.46,0.46,0.5,1.0
30,1.5000780330578625,1.5000780330578625,0.45660917136390383,0.45660917136390383,0.5,1.0,1.4999999993709312,1.4999999993709312,0.45652173821852693,0.45652173821852693,0.5,1.0,1.5185574781795494,1.4925658934543897,0.10507637639926534,0.09202992522927045,0.4638884352419365,1.0,1.422799999999999,1.422799999999999,0.46,0.46,0.5,1.0
31,1.500049938514109,1.500049938514109,0.45658281422555086,0.45658281422555086,0.5,1.0,1.4999999997348492,1.4999999997348492,0.4565217383393084,0.4565217383393084,0.5,1.0,1.3745154472715087,1.3119444328601348,0.7920248288952209,0.8268088482836826,0.5244985485327639,1.0,1.421199999999999,1.421199999999999,0.46,0.46,0.5,1.0
32,1.500030621762596,1.500030621762596,0.4565637320685066,0.4565637320685066,0.5,1.0,1.499999999840897,1.499999999840897,0.4565217388998957,0.4565217388998957,0.5,1.0,1.5194401266559872,1.4950010914004985,0.10674774649710779,0.09329282323149643,0.4619729589836859,1.0,1.4195999999999989,1.4195999999999989,0.46,0.46,0.5,1.0
33,1.500017590939879,1.500017590939879,0.45655006700590656,0.45655006700590656,0.5,1.0,1.4999999999329332,1.4999999999329332,0.45652173893035597,0.45652173893035597,0.5,1.0,1.3765175919026962,1.3141961717657313,0.7923323489664039,0.824466464920679,0.5275008232648927,1.0,1.4179999999999988,1.4179999999999988,0.46,0.46,0.5,1.0
34,1.5000090074395749,1.5000090074395749,0.4565403989137045,0.4565403989137045,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173918795735,0.45652173918795735,0.5,1.0,1.519839668407863,1.4973947154818565,0.10853478610056617,0.09468125689662549,0.46011447169387415,1.0,1.4163999999999988,1.4163999999999988,0.46,0.46,0.5,1.0
35,1.5000035275275039,1.5000035275275039,0.4565336519827631,0.4565336519827631,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3780979057872997,1.3164384325064094,0.7924417590631779,0.8221192096238014,0.5304320155916634,1.0,1.4147999999999987,1.4147999999999987,0.46,0.46,0.5,1.0
36,1.5000001790446902,1.5000001790446902,0.4565290184408995,0.4565290184408995,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5198323063357622,1.4996886523294828,0.11040859203161574,0.09614658107374129,0.4583865544833465,1.0,1.4131999999999987,1.4131999999999987,0.46,0.46,0.5,1.0
37,1.4999982663472333,1.4999982663472333,0.4565258971683845,0.4565258971683845,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.379301237243191,1.3186259684097021,0.7923706612745456,0.8197896713610019,0.5332367502231424,1.0,1.4115999999999986,1.4115999999999986,0.46,0.46,0.5,1.0
38,1.4999972976888012,1.4999972976888012,0.4565238449096347,0.4565238449096347,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5194947198529276,1.5018385793871671,0.11234076829950196,0.09764598477179867,0.4568338953035894,1.0,1.4099999999999986,1.4099999999999986,0.46,0.46,0.5,1.0
39,1.4999969302423344,1.4999969302423344,0.45652253792710185,0.45652253792710185,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3801748218282834,1.3207227798702377,0.7921461390992087,0.8174966816433428,0.535874585621409,1.0,1.4083999999999985,1.4083999999999985,0.46,0.46,0.5,1.0
40,1.4999969288441208,1.4999969288441208,0.45652174217002944,0.45652174217002944,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5188942069734117,1.5038165563631167,0.11430563924698559,0.09914400936604181,0.4554761409493845,1.0,1.4067999999999985,1.4067999999999985,0.46,0.46,0.5,1.0
41,1.4999971353109587,1.4999971353109587,0.45652129028948296,0.45652129028948296,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3807614469416083,1.3227043819806914,0.791800163037878,0.8152540422104461,0.5383221784895722,1.0,1.4051999999999985,1.4051999999999985,0.46,0.46,0.5,1.0
42,1.4999974458293157,1.4999974458293157,0.4565210640905283,0.4565210640905283,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5180839576593415,1.5056107155558853,0.11628116897494437,0.10061264777956183,0.4543139248719229,1.0,1.4035999999999984,1.4035999999999984,0.46,0.46,0.5,1.0
43,1.4999977944521121,1.4999977944521121,0.4565209812547904,0.4565209812547904,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3810957811398614,1.3245579792460158,0.7913661334984147,0.8130706335219099,0.5405720116423592,1.0,1.4019999999999984,1.4019999999999984,0.46,0.46,0.5,1.0
44,1.499998141175957,1.499998141175957,0.4565209853829456,0.4565209853829456,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.51710204437082,1.5072231988009055,0.11824891952349875,0.10203046572465665,0.45333515764706733,1.0,1.4003999999999983,1.4003999999999983,0.46,0.46,0.5,1.0
45,1.499998463422893,1.499998463422893,0.4565210385936178,0.4565210385936178,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.381203080939385,1.3262813126805963,0.7908766825588015,0.8109512512493383,0.5426293108228893,1.0,1.3987999999999983,1.3987999999999983,0.46,0.46,0.5,1.0
46,1.4999987500294176,1.4999987500294176,0.4565211160727721,0.4565211160727721,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5159726566362708,1.5086673939844795,0.12019343100461564,0.10338122768936453,0.4525203665690696,1.0,1.4707999999999983,1.4707999999999983,0.3,0.3,0.5,1.0
47,1.49999899706431,1.49999899706431,0.45652120209805985,0.45652120209805985,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.381099432532224,1.3278809120679325,0.790362549315241,0.8088976811643105,0.5445084490022956,1.0,1.4691999999999983,1.4691999999999983,0.46,0.46,0.5,1.0
48,1.4999992049667272,1.4999992049667272,0.456521287168658,0.456521287168658,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5147083866466422,1.5099652258341738,0.12210134766451616,0.10465241781231038,0.451846604857371,1.0,1.4675999999999982,1.4675999999999982,0.46,0.46,0.5,1.0
49,1.499999376626837,1.499999376626837,0.45652136595628323,0.45652136595628323,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3807928175429751,1.329370304866068,0.7898522200443696,0.8069097148942669,0.5462296478970069,1.0,1.4659999999999982,1.4659999999999982,0.46,0.46,0.5,1.0
50,1.4999995161309652,1.4999995161309652,0.4565214358605906,0.4565214358605906,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5133127678366995,1.5111449216702895,0.123960514075292,0.10583390527699997,0.45128996849609215,1.0,1.4643999999999981,1.4643999999999981,0.46,0.46,0.5,1.0
51,1.499999627968613,1.499999627968613,0.45652149600511316,0.45652149600511316,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3802845070657912,1.330768513706504,0.7893720175254817,0.8049859579847226,0.5478163506924124,1.0,1.462799999999998,1.462799999999998,0.46,0.46,0.5,1.0
52,1.4999997165551462,1.4999997165551462,0.4565215465510145,0.4565215465510145,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5117826350600105,1.5122394031113267,0.1257591715789408,0.10691687755357676,0.4508270164774571,1.0,1.461199999999998,1.461199999999998,0.46,0.46,0.5,1.0
53,1.4999997859658751,1.4999997859658751,0.45652158823754585,0.45652158823754585,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.3795705063784665,1.3320989876087315,0.7889463726284899,0.8031243755979002,0.5492933398275267,1.0,1.459599999999998,1.459599999999998,0.46,0.46,0.5,1.0
54,1.4999998398080656,1.4999998398080656,0.45652162208219466,0.45652162208219466,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5101101527301104,1.5132852797539773,0.12748531636533528,0.107893078206643,0.45043545685642467,1.0,1.457999999999998,1.457999999999998,0.46,0.46,0.5,1.0
55,1.6749998811798794,1.6749998811798794,0.456521649191709,0.456521649191709,0.5,1.0,1.6749999999064729,1.6749999999064729,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5713828788035165,1.4906490557169243,0.7885980739517228,0.8013225737953357,0.5506855066119462,1.0,1.631399999999998,1.631399999999998,0.46,0.46,0.5,1.0
56,1.7228099126814256,1.7228099126814256,0.7330216706488133,0.7330216706488133,0.5,1.0,1.730543370258971,1.730543370258971,0.7162100644510904,0.7162100644510904,0.5,1.0,1.5384605533708484,1.5626374392663633,0.7611750674926228,0.8278117626883096,0.4119716956025176,1.0,1.494699999999998,1.494699999999998,0.95,0.95,0.5,0.78
57,1.7439216284546433,1.7439216284546433,0.7910614874495268,0.7910614874495268,0.5,1.0,1.7721433702589708,1.7721433702589708,0.7465217391304348,0.7465217391304348,0.5,1.0,1.5638115843723626,1.5420194157295608,0.8162634471465069,0.8473604496693371,0.5205613203752043,1.0,1.668099999999998,1.668099999999998,0.46,0.46,0.5,1.0
58,1.7373986204912633,1.7373986204912633,0.8511369738334342,0.8511369738334342,0.5,1.0,1.819359649328738,1.819359649328738,0.7343124368048534,0.7343124368048534,0.5,1.0,1.5345210493170724,1.566480881622581,0.8141733799274037,0.8702376399905745,0.4483496359887215,1.0,1.5313999999999979,1.5313999999999979,0.95,0.95,0.5,0.78
59,1.718139012871214,1.718139012871214,0.8788252339566288,0.8788252339566288,0.5,1.0,1.8629422401776818,1.8629422401776818,0.7422117590240352,0.7422117590240352,0.5,1.0,1.5484061811739922,1.556305959824531,0.8135824832165209,0.8522648862207186,0.5040689274500253,1.0,1.7047999999999979,1.7047999999999979,0.46,0.46,0.5,1.0
60,1.6923805188670566,1.6923805188670566,0.8929532478351246,0.8929532478351246,0.5,1.0,1.9089277314137747,1.9089277314137747,0.7369880625302332,0.7369880625302332,0.5,1.0,1.5336360405176601,1.5647872503547526,0.8186374015993879,0.8689470551965045,0.4698741091940083,1.0,1.5680999999999978,1.5680999999999978,0.95,0.95,0.5,0.78
61,1.664800750577922,1.664800750577922,0.8969125397589884,0.8969125397589884,0.5,1.0,1.9494722553487334,1.9494722553487334,0.7488162523153077,0.7488162523153077,0.5,1.0,1.5407991773139766,1.5598711288482536,0.8130753438109295,0.855952883819902,0.49503609733681075,1.0,1.7414999999999978,1.7414999999999978,0.46,0.46,0.5,1.0
62,1.6380191568914024,1.6380191568914024,0.8951773775793901,0.8951773775793901,0.5,1.0,1.98126130391317,1.98126130391317,0.7678498944251376,0.7678498944251376,0.5,1.0,1.534039966028833,1.5629951395071533,0.8167230174640229,0.8650926360712897,0.4791342555172816,1.0,1.6047999999999976,1.6047999999999976,0.95,0.95,0.5,0.78
63,1.6135046491927532,1.6135046491927532,0.8902489297796726,0.8902489297796726,0.5,1.0,2.0111243244821195,2.0111243244821195,0.7720369118066315,0.7720369118066315,0.5,1.0,1.5376142249206743,1.5606313311046687,0.8129942451462658,0.8582873842246985,0.49032676838847195,1.0,1.4680999999999975,1.4680999999999975,0.95,0.95,0.5,0.78
64,1.5919298302320501,1.5919298302320501,0.8838583020884848,0.8838583020884848,0.5,1.0,2.036057368192571,2.036057368192571,0.7827542528033666,0.7827542528033666,0.5,1.0,1.5344520031979898,1.5618403136397707,0.8150533289891427,0.8631058866360363,0.48280819430171606,1.0,1.6414999999999975,1.6414999999999975,0.46,0.46,0.5,1.0
65,1.57347993614724,1.57347993614724,0.8770649871408913,0.8770649871408913,0.5,1.0,2.057351903399053,2.057351903399053,0.7906640538989519,0.7906640538989519,0.5,1.0,1.5361218714718217,1.5606505592829674,0.8129834168579939,0.8598859007136834,0.48784706497208974,1.0,1.5047999999999975,1.5047999999999975,0.95,0.95,0.5,0.78
66,1.5580487984579179,1.5580487984579179,0.8705024732376571,0.8705024732376571,0.5,1.0,2.0745156694699354,2.0745156694699354,0.7996439868024293,0.7996439868024293,0.5,1.0,1.5345047738591147,1.5610945304702768,0.8140123567760381,0.8624509615400431,0.4841929694860657,1.0,1.6781999999999975,1.6781999999999975,0.46,0.46,0.5,1.0
67,1.54537252657008,1.54537252657008,0.8645136345387783,0.8645136345387783,0.5,1.0,2.0878898498351433,2.0878898498351433,0.8078822165973738,0.8078822165973738,0.5,1.0,1.5351921733939518,1.5604209418185357,0.8128649871935063,0.8610180326258499,0.48650038135564944,1.0,1.5414999999999974,1.5414999999999974,0.95,0.95,0.5,0.78
68,1.5351153980436223,1.5351153980436223,0.8592546272314298,0.8592546272314298,0.5,1.0,2.0977263390474965,2.0977263390474965,0.8155728495383617,0.8155728495383617,0.5,1.0,1.5342435531181056,1.5605210740673399,0.8133082909081545,0.8624492917593276,0.4846405110933832,1.0,1.7148999999999974,1.7148999999999974,0.46,0.46,0.5,1.0
69,1.526923601511038,1.526923601511038,0.8547647750708356,0.8547647750708356,0.5,1.0,2.104585681173549,2.104585681173549,0.8220449084216245,0.8220449084216245,0.5,1.0,1.5344296812451208,1.5600686755795938,0.8126181039912445,0.8618737880973006,0.48570189086102294,1.0,1.5781999999999974,1.5781999999999974,0.95,0.95,0.5,0.78
70,1.5204569295861161,1.5204569295861161,0.8510145041846124,0.8510145041846124,0.5,1.0,2.1114168702409244,2.1114168702409244,0.8221061107230959,0.8221061107230959,0.5,1.0,1.5337744387038559,1.5599976202543675,0.8127465911903445,0.8627453606933324,0.4846859602679135,1.0,1.7515999999999974,1.7515999999999974,0.46,0.46,0.5,1.0
71,1.5154058572177167,1.5154058572177167,0.8479371138443464,0.8479371138443464,0.5,1.0,2.118331191049303,2.118331191049303,0.8219253895470031,0.8219253895470031,0.5,1.0,1.5336986038827514,1.5596371051238491,0.8122762638804799,0.8625853664491347,0.48515746307002117,1.0,1.6148999999999971,1.6148999999999971,0.95,0.95,0.5,0.78
72,1.5114991631330095,1.5114991631330095,0.8454493349667546,0.8454493349667546,0.5,1.0,2.1252896925300018,2.1252896925300018,0.8218293446071756,0.8218293446071756,0.5,1.0,1.5331708195001736,1.5594721179003597,0.812237062557723,0.8631820061511187,0.48454709661555173,1.0,1.478199999999997,1.478199999999997,0.95,0.95,0.5,0.78
73,1.5085056712103908,1.5085056712103908,0.8434641128752579,0.8434641128752579,0.5,1.0,2.1323022272250176,2.1323022272250176,0.8217118810977908,0.8217118810977908,0.5,1.0,1.532950076435656,1.559145968667364,0.8118715111874724,0.8632304285897305,0.48472747023599944,1.0,1.651599999999997,1.651599999999997,0.46,0.46,0.5,1.0
74,1.506232536311608,1.506232536311608,0.8418981193451801,0.8418981193451801,0.5,1.0,2.139363352851755,2.139363352851755,0.8216062486375273,0.8216062486375273,0.5,1.0,1.532473922000631,1.5589235262028593,0.8117402395046661,0.8636914928856162,0.48431734511314456,1.0,1.514899999999997,1.514899999999997,0.95,0.95,0.5,0.78
75,1.5045216845214069,1.5045216845214069,0.8406757647613069,0.8406757647613069,0.5,1.0,2.146472440315616,2.146472440315616,0.8215019837742147,0.8215019837742147,0.5,1.0,1.5321666860804752,1.5586051953629105,0.8114233349669948,0.8638496362506233,0.48434740021384676,1.0,1.688299999999997,1.688299999999997,0.46,0.46,0.5,1.0
76,1.5032454460307596,1.5032454460307596,0.8397309532405377,0.8397309532405377,0.5,1.0,2.1536275189035323,2.1536275189035323,0.821402003069747,0.821402003069747,0.5,1.0,1.5317070970206852,1.5583431951106794,0.8112381161937554,0.8642435997019426,0.4840388888173214,1.0,1.551599999999997,1.551599999999997,0.95,0.95,0.5,0.78
77,1.5023020244861642,1.5023020244861642,0.8390074381404247,0.8390074381404247,0.5,1.0,2.1608271067639917,2.1608271067639917,0.8213052437816104,0.8213052437816104,0.5,1.0,1.5313441554793668,1.5580199467226574,0.8109417760761274,0.8644629846398301,0.48398737071909104,1.0,1.724999999999997,1.724999999999997,0.46,0.46,0.5,1.0
78,1.5016111792712385,1.5016111792712385,0.8384583591628818,0.8384583591628818,0.5,1.0,2.1680390784906463,2.1680390784906463,0.8212783223333596,0.8212783223333596,0.5,1.0,1.5308853611826043,1.557727598538072,0.8107219424351985,0.8648240194807746,0.4837315574330246,1.0,1.588299999999997,1.588299999999997,0.95,0.95,0.5,0.78
79,1.5011103200361227,1.5011103200361227,0.8380453461632955,0.8380453461632955,0.5,1.0,2.1752470714216883,2.1752470714216883,0.8212869718890387,0.8212869718890387,0.5,1.0,1.5304843639356793,1.5573932389735852,0.8104317181094155,0.8650799271327843,0.4836332377706572,1.0,1.761699999999997,1.761699999999997,0.46,0.46,0.5,1.0
