Fase,Arch,Epocas,N_train,N_val,N_test,IAE_train,IAE_val,IAE_test
Servo,4-64-32-16-8-1,800,25600,50,50,0.00406,0.00432,0.00432
Aware,8-96-64-32-16-8-3,1200,19200,30,30,0.19891,0.17456,0.17456
