Metodo,IAE,Mp_pct,Ts,Rec,Energia,Var_u,Umax
PID,3.89,0.0,16,0,95.386,3.116,1.0
Fuzzy,5.97,0.0,19,12,90.116,1.854,0.816
DL,1.903,0.0,10,3,92.793,1.65,0.863
QL,1.803,0.0,10,0,94.45,7.1,1.0
