Fase,Estados,Acciones,Episodios,Horizonte,Alpha,Gamma,Eps0,EpsMin,R_final
Servo,100,8,600,100,0.15,0.95,0.6,0.02,-0.038
Aware,162,11,3000,160,0.18,0.92,0.65,0.02,-0.2802
