Metodo,IAE_nom,IAE_rob,Ocup_nom,Ocup_rob,Viol_rob,Margen_rob
PID,11.407,64.655,1.744,2.718,0.0,0.282
Fuzzy,37.208,127.669,2.197,2.775,0.0,0.225
DL,22.138,58.988,1.571,2.735,0.0,0.265
QL,25.746,32.462,1.762,1.874,0.0,1.126
