t,PID_n1,PID_n2,PID_u1,PID_u2,PID_spl,PID_adm,Fuzzy_n1,Fuzzy_n2,Fuzzy_u1,Fuzzy_u2,Fuzzy_spl,Fuzzy_adm,DL_n1,DL_n2,DL_u1,DL_u2,DL_spl,DL_adm,QL_n1,QL_n2,QL_u1,QL_u2,QL_spl,QL_adm
0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0,1.25,1.25,0.0,0.0,0.0,1.0
1,1.4317,1.4317,0.06152173913043474,0.06152173913043474,0.5,1.0,1.4063999999999999,1.4063999999999999,0.11652173913043475,0.11652173913043475,0.5,1.0,1.4320804642459322,1.4173587979670672,0.09042251592673903,0.062970392305871,0.5325590989815051,1.0,1.322,1.322,0.3,0.3,0.5,1.0
2,1.46984044,1.46984044,0.3736077391304347,0.3736077391304347,0.5,1.0,1.4232883852691216,1.4232883852691216,0.41980785811060467,0.41980785811060467,0.5,1.0,1.4459170096497078,1.3554294859212856,0.4936324762368462,0.5239604947240358,0.5735892487445833,1.0,1.3940000000000001,1.3940000000000001,0.3,0.3,0.5,1.0
3,1.509318608208,1.509318608208,0.3706996343304348,0.3706996343304348,0.5,1.0,1.4729287786675023,1.4729287786675023,0.3486078404383027,0.3486078404383027,0.5,1.0,1.493727479243091,1.53387797979573,0.17148711101983197,0.24968905535445549,0.3016536682440619,1.0,1.4660000000000002,1.4660000000000002,0.3,0.3,0.5,1.0
4,1.5275137440024256,1.5275137440024256,0.41696709609907456,0.41696709609907456,0.5,1.0,1.466309437225854,1.466309437225854,0.47091161182967006,0.47091161182967006,0.5,1.0,1.3404359454305599,1.2918029610343176,0.8676676869245512,0.9048682969318477,0.585322862316101,1.0,1.4644000000000001,1.4644000000000001,0.46,0.46,0.5,1.0
5,1.5367978624070306,1.5367978624070306,0.4363388730334672,0.4363388730334672,0.5,1.0,1.4918327387734527,1.4918327387734527,0.4010363009834812,0.4010363009834812,0.5,1.0,1.4808772626530238,1.4835607911326498,0.08751051360969705,0.10336090525813701,0.4302289368641063,1.0,1.4628,1.4628,0.46,0.46,0.5,1.0
6,1.5393996790420899,1.5393996790420899,0.4508656160107406,0.4508656160107406,0.5,1.0,1.490945982197837,1.490945982197837,0.4584494708165557,0.4584494708165557,0.5,1.0,1.344694466084055,1.2639563707304406,0.817122112360151,0.8693718375771924,0.5706985121826206,1.0,1.4612,1.4612,0.46,0.46,0.5,1.0
7,1.5382594267899992,1.5382594267899992,0.45900054837411025,0.45900054837411025,0.5,1.0,1.4967556572646887,1.4967556572646887,0.44389201072423545,0.44389201072423545,0.5,1.0,1.4876699766509223,1.4574736103541484,0.08554140592021012,0.09599609366549645,0.4341060887861045,1.0,1.4596,1.4596,0.46,0.46,0.5,1.0
8,1.5350207304326384,1.5350207304326384,0.46356238338556655,0.46356238338556655,0.5,1.0,1.4976493763417242,1.4976493763417242,0.4545788715716619,0.4545788715716619,0.5,1.0,1.354862054603007,1.2667647245668963,0.7767721745163935,0.839568712081796,0.5345411386419662,1.0,1.458,1.458,0.46,0.46,0.5,1.0
9,1.5308211735595263,1.5308211735595263,0.4656512105937218,0.4656512105937218,0.5,1.0,1.4989188772129955,1.4989188772129955,0.453761954627671,0.453761954627671,0.5,1.0,1.4974209507758085,1.4596657327658844,0.08782633724286622,0.09595647934019967,0.4356166935821903,1.0,1.4564,1.4564,0.46,0.46,0.5,1.0
10,1.5263569940511417,1.5263569940511417,0.4662264771921406,0.4662264771921406,0.5,1.0,1.4994079400023521,1.4994079400023521,0.4554585591535727,0.4554585591535727,0.5,1.0,1.3554642654663827,1.2690307547393385,0.7875755578788084,0.8484932754602615,0.5245906459876806,1.0,1.4547999999999999,1.4547999999999999,0.46,0.46,0.5,1.0
11,1.5220444841134653,1.5220444841134653,0.46589676073407904,0.46589676073407904,0.5,1.0,1.4997354289213094,1.4997354289213094,0.4558098066979188,0.4558098066979188,0.5,1.0,1.4990534081159648,1.4608923305278871,0.08893126227065945,0.09487152373340367,0.43927981736687055,1.0,1.4531999999999998,1.4531999999999998,0.46,0.46,0.5,1.0
12,1.5181089609703777,1.5181089609703777,0.46507722422410347,0.46507722422410347,0.5,1.0,1.4998512170148632,1.4998512170148632,0.45627002588357857,0.45627002588357857,0.5,1.0,1.362454453899629,1.272920170878269,0.7807546684091923,0.8378781878211428,0.5298766505997442,1.0,1.4515999999999998,1.4515999999999998,0.46,0.46,0.5,1.0
13,1.5146530414831185,1.5146530414831185,0.4640346075809983,0.4640346075809983,0.5,1.0,1.4999359870824145,1.4999359870824145,0.4563374563748886,0.4563374563748886,0.5,1.0,1.5040465821683486,1.4649870777922063,0.09106206495361228,0.0966356846493073,0.4368587574937647,1.0,1.4499999999999997,1.4499999999999997,0.46,0.46,0.5,1.0
14,1.5117025669300224,1.5117025669300224,0.4629358142458613,0.4629358142458613,0.5,1.0,1.4999624628789383,1.4999624628789383,0.45646418305103503,0.45646418305103503,0.5,1.0,1.3665977406012764,1.2757961608713755,0.7853899893279402,0.8377399204283702,0.5329298893423343,1.0,1.4483999999999997,1.4483999999999997,0.46,0.46,0.5,1.0
15,1.5092381030173552,1.5092381030173552,0.4618792693753632,0.4618792693753632,0.5,1.0,1.4999843341937318,1.4999843341937318,0.4564741927939273,0.4564741927939273,0.5,1.0,1.5070533126241645,1.46786661423837,0.0927370130103987,0.09742380135942125,0.4359871381135041,1.0,1.4467999999999996,1.4467999999999996,0.46,0.46,0.5,1.0
16,1.50721581781217,1.50721581781217,0.46091801131562,0.46091801131562,0.5,1.0,1.4999904926419627,1.4999904926419627,0.45650835119949784,0.45650835119949784,0.5,1.0,1.3721223758939851,1.2794954590307017,0.7842776255856398,0.8315964873227251,0.5377065977124161,1.0,1.4451999999999996,1.4451999999999996,0.46,0.46,0.5,1.0
17,1.5055809916123248,1.5055809916123248,0.4600757091300981,0.4600757091300981,0.5,1.0,1.499995971255722,1.499995971255722,0.4565098291005232,0.4565098291005232,0.5,1.0,1.5105717298935495,1.4717707830734568,0.09495798973974086,0.0991187971247821,0.433642926856774,1.0,1.4435999999999996,1.4435999999999996,0.46,0.46,0.5,1.0
18,1.5042764170452516,1.5042764170452516,0.4593577707979853,0.4593577707979853,0.5,1.0,1.4999975971224315,1.4999975971224315,0.4565182046375882,0.4565182046375882,0.5,1.0,1.3769548296299676,1.283351330640472,0.7854942628406771,0.8276282430214237,0.542167763436023,1.0,1.4419999999999995,1.4419999999999995,0.46,0.46,0.5,1.0
19,1.5032473355534866,1.5032473355534866,0.45875887280818467,0.45875887280818467,0.5,1.0,1.4999989898655302,1.4999989898655302,0.45651871142804645,0.45651871142804645,0.5,1.0,1.5133154544472078,1.4757700931050601,0.09731887116901129,0.1009868086531008,0.4312554894166317,1.0,1.4403999999999995,1.4403999999999995,0.46,0.46,0.5,1.0
20,1.5024440739543505,1.5024440739543505,0.4582679599981217,0.4582679599981217,0.5,1.0,1.4999993920464554,1.4999993920464554,0.45652086482407567,0.45652086482407567,0.5,1.0,1.3817958475792944,1.2877457856204584,0.7854931557609108,0.8222110058749915,0.5471601066240611,1.0,1.4387999999999994,1.4387999999999994,0.46,0.46,0.5,1.0
21,1.5018231978054986,1.5018231978054986,0.4578714698888086,0.4578714698888086,0.5,1.0,1.4999997433769812,1.4999997433769812,0.4565209753684219,0.4565209753684219,0.5,1.0,1.515727154074899,1.4802189062448328,0.10009003972805176,0.10337859696764556,0.4285064875488297,1.0,1.4371999999999994,1.4371999999999994,0.46,0.46,0.5,1.0
22,1.5013477450242432,1.5013477450242432,0.45755533213316363,0.45755533213316363,0.5,1.0,1.4999998462678992,1.4999998462678992,0.456521515454526,0.456521515454526,0.5,1.0,1.3861921883917903,1.2924542522044387,0.7857410513685203,0.8170842088999641,0.5521569474914537,1.0,1.4355999999999993,1.4355999999999993,0.46,0.46,0.5,1.0
23,1.5009869216981369,1.5009869216981369,0.4573061376654484,0.4573061376654484,0.5,1.0,1.4999999352457603,1.4999999352457603,0.45652154570030196,0.45652154570030196,0.5,1.0,1.5176173783037399,1.4847868370497639,0.10315620395878215,0.10606602482975075,0.4258977231737841,1.0,1.4339999999999993,1.4339999999999993,0.46,0.46,0.5,1.0
24,1.5007155131592116,1.5007155131592116,0.45711175769331575,0.45711175769331575,0.5,1.0,1.4999999611147987,1.4999999611147987,0.4565216828933943,0.4565216828933943,0.5,1.0,1.3902041443599535,1.297418508635262,0.7856194189045547,0.8117318036134626,0.5570754732197828,1.0,1.4323999999999992,1.4323999999999992,0.46,0.46,0.5,1.0
25,1.500513173185369,1.500513173185369,0.45696160863878826,0.45696160863878826,0.5,1.0,1.499999983603029,1.499999983603029,0.45652169024297734,0.45652169024297734,0.5,1.0,1.5191233385968372,1.4893594953890634,0.10652536808062926,0.10899597759179472,0.4236211036999361,1.0,1.4307999999999992,1.4307999999999992,0.46,0.46,0.5,1.0
26,1.5003636919951189,1.5003636919951189,0.456846698239674,0.456846698239674,0.5,1.0,1.4999999901658008,1.4999999901658008,0.4565217248635399,0.4565217248635399,0.5,1.0,1.3937695406801773,1.3024663398168004,0.7853218751019763,0.8065193281348122,0.5616530110244031,1.0,1.4291999999999991,1.4291999999999991,0.46,0.46,0.5,1.0
27,1.500254301605563,1.500254301605563,0.4567595443251213,0.4567595443251213,0.5,1.0,1.4999999958554988,1.4999999958554988,0.4565217267615259,0.4565217267615259,0.5,1.0,1.52030699335737,1.4937379258619172,0.11012344097027989,0.11203082267687314,0.42189103696076524,1.0,1.427599999999999,1.427599999999999,0.46,0.46,0.5,1.0
28,1.5001750492766364,1.5001750492766364,0.4566940268020143,0.4566940268020143,0.5,1.0,1.4999999975127052,1.4999999975127052,0.4565217355278123,0.4565217355278123,0.5,1.0,1.3969322963724853,1.3074659282028833,0.7847606840180197,0.8014277825991951,0.5657505182462006,1.0,1.425999999999999,1.425999999999999,0.46,0.46,0.5,1.0
29,1.5001182518852583,1.5001182518852583,0.45664521172038725,0.45664521172038725,0.5,1.0,1.4999999989514536,1.4999999989514536,0.4565217360027207,0.4565217360027207,0.5,1.0,1.5212694340210164,1.497795513835313,0.11390207628986859,0.11508330788195534,0.4207906970044543,1.0,1.424399999999999,1.424399999999999,0.46,0.46,0.5,1.0
30,1.5000780330578625,1.5000780330578625,0.45660917136390383,0.45660917136390383,0.5,1.0,1.4999999993709312,1.4999999993709312,0.45652173821852693,0.45652173821852693,0.5,1.0,1.3997423464712244,1.312299934254539,0.783965669059804,0.7965183899196876,0.569278857661233,1.0,1.422799999999999,1.422799999999999,0.46,0.46,0.5,1.0
31,1.500049938514109,1.500049938514109,0.45658281422555086,0.45658281422555086,0.5,1.0,1.4999999997348492,1.4999999997348492,0.4565217383393084,0.4565217383393084,0.5,1.0,1.5220867629574042,1.5014425511150125,0.11781207845975658,0.11808567513447503,0.4203285061373048,1.0,1.421199999999999,1.421199999999999,0.46,0.46,0.5,1.0
32,1.500030621762596,1.500030621762596,0.4565637320685066,0.4565637320685066,0.5,1.0,1.499999999840897,1.499999999840897,0.4565217388998957,0.4565217388998957,0.5,1.0,1.4022676119851067,1.3168914433526226,0.7829418594963357,0.7917760942747235,0.572224058085755,1.0,1.4195999999999989,1.4195999999999989,0.46,0.46,0.5,1.0
33,1.500017590939879,1.500017590939879,0.45655006700590656,0.45655006700590656,0.5,1.0,1.4999999999329332,1.4999999999329332,0.45652173893035597,0.45652173893035597,0.5,1.0,1.5228201482164938,1.5046390400904073,0.12182190840931299,0.12100388948379198,0.42045384309445494,1.0,1.4179999999999988,1.4179999999999988,0.46,0.46,0.5,1.0
34,1.5000090074395749,1.5000090074395749,0.4565403989137045,0.4565403989137045,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173918795735,0.45652173918795735,0.5,1.0,1.404572648823713,1.3211974128783444,0.7817103341004189,0.7871790715622847,0.574617272127171,1.0,1.4163999999999988,1.4163999999999988,0.46,0.46,0.5,1.0
35,1.5000035275275039,1.5000035275275039,0.4565336519827631,0.4565336519827631,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.523510977623516,1.507379295024918,0.1259125402949202,0.12382613156078186,0.42109070794158726,1.0,1.4147999999999987,1.4147999999999987,0.46,0.46,0.5,1.0
36,1.5000001790446902,1.5000001790446902,0.4565290184408995,0.4565290184408995,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.4067146542351134,1.325203749131872,0.7802902355149287,0.7826920890099595,0.5765171070201537,1.0,1.4131999999999987,1.4131999999999987,0.46,0.46,0.5,1.0
37,1.4999982663472333,1.4999982663472333,0.4565258971683845,0.4565258971683845,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5241861355394948,1.5096812150736467,0.13007657792410598,0.12655614545381577,0.42215882654635756,1.0,1.4115999999999986,1.4115999999999986,0.46,0.46,0.5,1.0
38,1.4999972976888012,1.4999972976888012,0.4565238449096347,0.4565238449096347,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.4087405373229307,1.328916175990009,0.7787004500951329,0.7782791962096532,0.5779919257790407,1.0,1.4099999999999986,1.4099999999999986,0.46,0.46,0.5,1.0
39,1.4999969302423344,1.4999969302423344,0.45652253792710185,0.45652253792710185,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5248621488986014,1.511575261499618,0.1343144692310766,0.1292057544965757,0.4235863510046812,1.0,1.4083999999999985,1.4083999999999985,0.46,0.46,0.5,1.0
40,1.4999969288441208,1.4999969288441208,0.45652174217002944,0.45652174217002944,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.4106878206451507,1.3323525831989511,0.7769571298980584,0.773905927828284,0.5791094083325148,1.0,1.4067999999999985,1.4067999999999985,0.46,0.46,0.5,1.0
41,1.4999971353109587,1.4999971353109587,0.45652129028948296,0.45652129028948296,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5255494151836932,1.5130969042854594,0.13863179133750334,0.13179013121673364,0.42531480608046207,1.0,1.4051999999999985,1.4051999999999985,0.46,0.46,0.5,1.0
42,1.4999974458293157,1.4999974458293157,0.4565210640905283,0.4565210640905283,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.4125864798003864,1.3355370260104966,0.7750736077064493,0.7695412045941364,0.5799307718134762,1.0,1.4035999999999984,1.4035999999999984,0.46,0.46,0.5,1.0
43,1.4999977944521121,1.4999977944521121,0.4565209812547904,0.4565209812547904,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.5262552686081279,1.5142817654681595,0.14303703315723298,0.13432486191797502,0.42729958109540145,1.0,1.4019999999999984,1.4019999999999984,0.46,0.46,0.5,1.0
44,1.499998141175957,1.499998141175957,0.4565209853829456,0.4565209853829456,0.5,1.0,1.4999999999064728,1.4999999999064728,0.45652173913043476,0.45652173913043476,0.5,1.0,1.4144610442498355,1.3384957262248367,0.7730604752196405,0.7651574891316968,0.580508557720815,1.0,1.4003999999999983,1.4003999999999983,0.46,0.46,0.5,1.0
