episode,epsilon,reward_sum,reward_mean,violation_sum,risk_sum,energy_mean,admission_mean,slew_mean,overshoot_sum,q_max,q_mean
1,0.41953,-1114.08736,-9.28406,0.0,0.0,1.36444,0.91067,0.16087,0.00708,0.0,-0.39711
2,0.41907,-1150.65401,-9.58878,0.0,0.0,1.38903,0.9105,0.16454,0.0,0.0,-0.78439
3,0.4186,-1142.08779,-9.5174,0.0,0.0,1.40348,0.91125,0.15597,0.00574,0.0,-1.14326
4,0.41813,-1327.03035,-11.05859,0.0,0.0,1.4458,0.90908,0.15273,0.0,0.0,-1.53717
5,0.41767,-1171.92381,-9.76603,0.0,0.0,1.38158,0.9085,0.16122,0.0,0.0,-1.8582
6,0.4172,-262.86395,-2.19053,0.0,1.74826,1.05773,0.94317,0.13443,17.01847,0.0,-1.84031
7,0.41673,-305.28471,-2.54404,0.0,0.44534,1.0715,0.94925,0.12816,12.41787,0.0,-1.7093
8,0.41627,-475.32496,-3.96104,0.0,0.0,1.13568,0.92433,0.14977,1.20918,0.0,-1.71271
9,0.4158,-813.22033,-6.77684,0.0,0.0,1.29198,0.91692,0.15016,1.49998,0.0,-1.90742
10,0.41533,-1096.8749,-9.14062,0.0,0.0,1.40559,0.91567,0.1602,0.03311,0.0,-2.20955
11,0.41487,-980.66535,-8.17221,0.0,0.0,1.38882,0.91283,0.16678,0.23948,0.0,-2.45571
12,0.4144,-718.21907,-5.98516,0.0,0.0,1.23543,0.93,0.14817,1.22315,0.0,-2.5953
13,0.41393,-1178.34128,-9.81951,0.0,0.0,1.41789,0.91317,0.15827,0.01332,0.0,-2.88744
14,0.41347,-1165.55103,-9.71293,0.0,0.0,1.33814,0.90975,0.164,0.0,0.0,-3.16108
15,0.413,-1132.62209,-9.43852,0.0,0.0,1.38439,0.91042,0.15076,0.00012,0.0,-3.40721
16,0.41253,-924.34611,-7.70288,0.0,0.01144,1.31718,0.93158,0.13648,4.97239,0.0,-3.5443
17,0.41207,-914.19799,-7.61832,0.0,0.0,1.25265,0.92775,0.13356,0.00454,0.0,-3.69924
18,0.4116,-1077.37459,-8.97812,0.0,0.0,1.38711,0.91483,0.13579,0.01866,0.0,-3.91424
19,0.41113,-724.54993,-6.03792,0.0,0.59466,1.16023,0.93892,0.14194,6.92265,0.0,-3.91135
20,0.41067,-749.2845,-6.24404,0.0,0.0,1.12448,0.92375,0.14694,0.58432,0.0,-3.98588
21,0.4102,-1304.72691,-10.87272,0.0,0.0,1.42734,0.90133,0.16061,0.0,0.0,-4.27899
22,0.40973,-981.43066,-8.17859,0.0,0.0,1.27609,0.9255,0.14713,0.01561,0.0,-4.51912
23,0.40927,-1288.98661,-10.74156,0.0,0.0,1.496,0.89708,0.15184,0.0112,0.0,-4.77885
24,0.4088,-1282.0926,-10.6841,0.0,0.0,1.46242,0.89925,0.15284,0.08406,0.0,-5.01628
25,0.40833,-1200.22808,-10.0019,0.0,0.0,1.52593,0.88475,0.15811,0.01691,0.0,-5.19038
26,0.40787,-963.2077,-8.02673,0.0,0.0,1.3221,0.91842,0.15367,0.0,0.0,-5.26684
27,0.4074,-496.54963,-4.13791,0.0,0.88136,1.10713,0.9415,0.11588,10.07696,0.0,-5.18703
28,0.40693,-690.83069,-5.75692,0.0,0.0,1.1153,0.944,0.12105,2.01138,0.0,-5.07403
29,0.40647,-727.68163,-6.06401,0.0,0.26457,1.16856,0.94175,0.11735,7.64022,0.0,-5.06034
30,0.406,-827.59421,-6.89662,0.0,0.0,1.22711,0.92775,0.14426,4.66696,0.0,-5.12358
31,0.40553,-915.9387,-7.63282,0.0,0.0,1.39977,0.90417,0.14354,0.0,0.0,-5.22377
32,0.40507,-739.41355,-6.16178,0.0,0.23908,1.17653,0.93442,0.14359,7.95977,0.0,-5.30196
33,0.4046,-1091.09926,-9.09249,0.0,0.0,1.42411,0.91233,0.16157,0.0,0.0,-5.51363
34,0.40413,-878.21581,-7.31847,0.0,0.00588,1.27933,0.92167,0.15134,2.74717,0.0,-5.65249
35,0.40367,-1319.01565,-10.9918,0.0,0.0,1.46544,0.90717,0.15663,0.0,0.0,-5.85384
36,0.4032,-869.32073,-7.24434,0.0,0.02449,1.18248,0.93567,0.14599,5.30134,0.0,-5.94619
37,0.40273,-528.31808,-4.40265,0.0,0.0,1.10657,0.94908,0.11325,0.02079,0.0,-5.87376
38,0.40227,-820.45943,-6.83716,0.0,0.36308,1.2265,0.9385,0.14101,10.67913,0.0,-5.86757
39,0.4018,-1052.54274,-8.77119,0.0,0.0,1.36171,0.90675,0.16172,0.01855,0.0,-6.03236
40,0.40133,-630.43059,-5.25359,0.0,0.0,1.15774,0.93758,0.12612,0.29347,0.0,-5.98397
41,0.40087,-691.65929,-5.76383,0.0,0.0,1.15336,0.9465,0.12624,0.06309,0.0,-5.90653
42,0.4004,-869.40781,-7.24507,0.0,0.12957,1.21365,0.93992,0.1629,5.55117,0.0,-5.955
43,0.39993,-1161.25812,-9.67715,0.0,0.0,1.43564,0.91242,0.15056,0.01474,0.0,-6.15565
44,0.39947,-1253.91057,-10.44925,0.0,0.0,1.41465,0.90975,0.16528,4e-05,0.0,-6.42287
45,0.399,-1248.64768,-10.4054,0.0,0.0,1.4046,0.90908,0.14637,0.0,0.0,-6.65292
46,0.39853,-1216.11962,-10.13433,0.0,0.0,1.40901,0.91142,0.15746,0.0,0.0,-6.86859
47,0.39807,-1181.86077,-9.84884,0.0,0.0,1.38475,0.91042,0.16122,0.0,0.0,-7.06783
48,0.3976,-1078.83832,-8.99032,0.0,0.0,1.33857,0.91433,0.15082,0.05249,0.0,-7.23401
49,0.39713,-929.37136,-7.74476,0.0,0.0,1.26188,0.93233,0.14395,1.85741,0.0,-7.33517
50,0.39667,-576.89019,-4.80742,0.0,0.41924,1.09508,0.93992,0.1533,11.49105,0.0,-7.28338
51,0.3962,-799.61586,-6.66347,0.0,2.35315,1.10552,0.94167,0.14684,17.69617,0.0,-7.15714
52,0.39573,-679.67278,-5.66394,0.0,0.51812,1.13752,0.93975,0.13655,12.63177,0.0,-7.09938
53,0.39527,-443.5628,-3.69636,0.0,0.0865,1.09241,0.94367,0.14472,10.05277,0.0,-6.94628
54,0.3948,-202.65198,-1.68877,0.0,0.20747,1.03368,0.95017,0.13994,8.99595,0.0,-6.66271
55,0.39433,-754.12133,-6.28434,0.0,0.38274,1.10823,0.94075,0.1463,7.30571,0.0,-6.60631
56,0.39387,-1136.47992,-9.47067,0.0,0.0,1.25991,0.90425,0.1621,0.0,0.0,-6.76826
