episode,epsilon,reward_sum,reward_mean,violation_sum,risk_sum,energy_mean,admission_mean,slew_mean,overshoot_sum,q_max,q_mean
57,0.3934,-1153.15964,-9.60966,0.0,0.0,1.36174,0.90892,0.14644,0.03746,0.0,-6.9758
58,0.39293,-972.48739,-8.10406,0.0,0.0,1.32768,0.9135,0.15653,0.0,0.0,-7.07661
59,0.39247,-1125.67389,-9.38062,0.0,0.0,1.27366,0.91842,0.15712,0.02576,0.0,-7.29508
60,0.392,-1097.25324,-9.14378,0.0,0.0,1.42659,0.90058,0.15823,0.0,0.0,-7.43679
61,0.39153,-1048.13429,-8.73445,0.0,0.0,1.3229,0.91417,0.16243,0.0,0.0,-7.57872
62,0.39107,-1020.47564,-8.50396,0.0,0.0,1.37909,0.9015,0.15308,0.11604,0.0,-7.75546
63,0.3906,-1230.71127,-10.25593,0.0,0.0,1.45548,0.91217,0.1433,5e-05,0.0,-7.96471
64,0.39013,-469.31783,-3.91098,0.0,2.04549,1.09721,0.93492,0.1438,19.10216,0.0,-7.79545
65,0.38967,-302.99369,-2.52495,0.0,0.40782,1.05908,0.948,0.12016,12.54351,0.0,-7.49791
66,0.3892,-251.2045,-2.09337,0.0,0.19704,1.01269,0.94617,0.12626,9.29483,0.0,-7.18522
67,0.38873,-278.9714,-2.32476,0.0,0.17264,1.05817,0.93617,0.12901,7.5489,0.0,-6.84729
68,0.38827,-233.84133,-1.94868,0.0,0.0,1.0378,0.94208,0.13733,8.86874,0.0,-6.5087
69,0.3878,-228.81352,-1.90678,0.0,0.25988,1.04951,0.94592,0.1331,13.93974,0.0,-6.28876
70,0.38733,-104.98015,-0.87483,0.0,0.0,1.04378,0.9475,0.13286,1.62996,0.0,-5.97461
71,0.38687,-221.00328,-1.84169,0.0,0.41253,1.02813,0.94567,0.13014,10.96198,0.0,-5.7454
72,0.3864,-318.73696,-2.65614,0.0,0.08196,1.03487,0.94125,0.13678,7.12212,0.0,-5.61455
73,0.38593,-115.85938,-0.96549,0.0,0.0,1.02621,0.94533,0.13275,0.54763,0.0,-5.4976
74,0.38547,-157.40635,-1.31172,0.0,0.05309,1.03486,0.94492,0.12721,6.75537,0.0,-5.37599
75,0.385,-142.05842,-1.18382,0.0,0.0,1.05116,0.94383,0.13327,2.41278,0.0,-5.20677
76,0.38453,-233.96211,-1.94968,0.0,0.00907,1.08304,0.93783,0.1366,8.2077,0.0,-5.12178
77,0.38407,-154.80536,-1.29004,0.0,0.0,1.04361,0.94542,0.13601,3.59649,0.0,-4.99836
78,0.3836,-788.31099,-6.56926,0.0,0.08119,1.18768,0.92708,0.15952,5.00701,0.0,-5.19844
79,0.38313,-447.25977,-3.72716,0.0,0.0,1.13656,0.9295,0.1403,0.99011,0.0,-5.26215
80,0.38267,-900.07418,-7.50062,0.0,0.0,1.22461,0.92233,0.14927,0.0,0.0,-5.45302
81,0.3822,-874.08802,-7.28407,0.0,0.0,1.35112,0.92333,0.15313,0.01275,0.0,-5.66243
82,0.38173,-1209.96578,-10.08305,0.0,0.0,1.37097,0.91375,0.15749,0.06,0.0,-5.98597
83,0.38127,-1039.15393,-8.65962,0.0,0.0,1.35218,0.91817,0.16099,0.00784,0.0,-6.24161
84,0.3808,-1169.43844,-9.74532,0.0,0.0,1.42358,0.91192,0.16066,0.0017,0.0,-6.53014
85,0.38033,-1123.99019,-9.36658,0.0,0.0,1.39447,0.91075,0.16017,0.0,0.0,-6.78003
86,0.37987,-1049.66773,-8.74723,0.0,0.0,1.2973,0.91533,0.15253,0.0,0.0,-6.99199
87,0.3794,-954.64213,-7.95535,0.0,0.0,1.31156,0.92108,0.14774,0.0,0.0,-7.16358
88,0.37893,-1143.01503,-9.52513,0.0,0.0,1.38824,0.912,0.1635,0.0,0.0,-7.40646
89,0.37847,-1056.51513,-8.80429,0.0,0.0,1.43478,0.90467,0.14672,0.3204,0.0,-7.57803
90,0.378,-1091.35228,-9.0946,0.0,0.0,1.43329,0.91358,0.15749,0.00263,0.0,-7.76556
91,0.37753,-1251.58193,-10.42985,0.0,0.0,1.3696,0.91025,0.15918,0.0,0.0,-8.00108
92,0.37707,-1011.21927,-8.42683,0.0,0.0,1.36221,0.92125,0.12142,0.0,0.0,-8.15594
93,0.3766,-1179.13201,-9.8261,0.0,0.0,1.40408,0.92192,0.14018,0.0,0.0,-8.3494
94,0.37613,-836.19858,-6.96832,0.0,0.0,1.18128,0.931,0.1325,0.0,0.0,-8.42202
95,0.37567,-877.89702,-7.31581,0.0,0.0,1.22993,0.92692,0.14668,1.45992,0.0,-8.46238
96,0.3752,-1005.80231,-8.38169,0.0,0.0,1.37427,0.92125,0.1448,0.02412,0.0,-8.58397
97,0.37473,-1034.99489,-8.62496,0.0,0.0,1.31647,0.91583,0.15279,3e-05,0.0,-8.71175
98,0.37427,-702.13964,-5.85116,0.0,0.0,1.12226,0.93467,0.13907,0.0,0.0,-8.64093
99,0.3738,-224.34874,-1.86957,0.0,0.20341,1.03162,0.94275,0.13505,10.70876,0.0,-8.3034
100,0.37333,-144.71559,-1.20596,0.0,0.00569,1.00818,0.94325,0.11377,4.70196,0.0,-7.89258
101,0.37287,-390.2448,-3.25204,0.0,0.72294,1.07966,0.93892,0.13639,10.72885,0.0,-7.60253
102,0.3724,-168.1669,-1.40139,0.0,0.0,1.06004,0.94383,0.13007,4.98677,0.0,-7.26447
103,0.37193,-219.56202,-1.82968,0.0,0.0,1.05391,0.93375,0.13538,1.15469,0.0,-6.91923
104,0.37147,-296.29716,-2.46914,0.0,1.15086,1.07675,0.93758,0.12807,14.3053,0.0,-6.72775
105,0.371,-111.83625,-0.93197,0.0,0.0,1.03637,0.94008,0.11965,3.85066,0.0,-6.5104
106,0.37053,-91.37674,-0.76147,0.0,0.0,1.0361,0.94658,0.11965,0.61591,0.0,-6.24574
107,0.37007,-332.70116,-2.77251,0.0,0.12203,1.07093,0.93958,0.13034,8.85846,0.0,-6.13112
108,0.3696,-266.84774,-2.22373,0.0,0.0,1.0322,0.93692,0.12064,1.22456,0.0,-6.08151
109,0.36913,-636.70038,-5.30584,0.0,0.0,1.16164,0.934,0.13881,6.93388,0.0,-6.14254
110,0.36867,-1045.27219,-8.7106,0.0,0.0,1.25452,0.911,0.16199,0.0,0.0,-6.40951
111,0.3682,-1183.77841,-9.86482,0.0,0.0,1.41706,0.91242,0.16408,0.0,0.0,-6.73082
112,0.36773,-1011.73633,-8.43114,0.0,0.0,1.32112,0.9055,0.16197,0.0,0.0,-6.94631
113,0.36727,-673.05609,-5.6088,0.0,0.0,1.19037,0.92892,0.15275,6.596,0.0,-7.06496
114,0.3668,-1223.41569,-10.19513,0.0,0.0,1.43493,0.90692,0.15946,0.0,0.0,-7.37809
115,0.36633,-354.92362,-2.9577,0.0,0.15624,1.08863,0.94383,0.13134,5.3572,0.0,-7.33116
116,0.36587,-852.89099,-7.10742,0.0,0.0,1.29404,0.9265,0.13728,0.57845,0.0,-7.47567
117,0.3654,-1088.82994,-9.07358,0.0,0.0,1.39686,0.91383,0.15046,0.0,0.0,-7.72668
118,0.36493,-1168.2654,-9.73555,0.0,0.0,1.33518,0.91517,0.15168,0.0,0.0,-7.98736
119,0.36447,-1209.50493,-10.07921,0.0,0.0,1.39146,0.91142,0.15738,0.0,0.0,-8.22318
120,0.364,-781.09778,-6.50915,0.0,0.0,1.26688,0.92908,0.14791,0.05127,0.0,-8.30874
121,0.36353,-1270.76454,-10.5897,0.0,0.0,1.39669,0.91192,0.15562,0.0,0.0,-8.57349
122,0.36307,-995.35825,-8.29465,0.0,0.0,1.3165,0.911,0.16263,0.05509,0.0,-8.68959
123,0.3626,-1123.86471,-9.36554,0.0,0.0,1.34415,0.92158,0.15734,0.1377,0.0,-8.90204
124,0.36213,-1287.22062,-10.72684,0.0,0.0,1.43456,0.91033,0.1507,0.0,0.0,-9.1431
125,0.36167,-958.51645,-7.98764,0.0,0.0,1.32362,0.91733,0.15477,0.02693,0.0,-9.27284
126,0.3612,-555.38273,-4.62819,0.0,0.0,1.17151,0.92367,0.13392,0.0,0.0,-9.17205
127,0.36073,-230.79873,-1.92332,0.0,1.26463,1.05648,0.94308,0.12714,15.31563,0.0,-8.86517
128,0.36027,-191.67713,-1.59731,0.0,0.44571,1.06763,0.93833,0.12389,9.40747,0.0,-8.50553
129,0.3598,-270.07446,-2.25062,0.0,0.97122,1.04792,0.9475,0.12471,18.26689,0.0,-8.24047
130,0.35933,-270.14758,-2.25123,0.0,1.58559,1.03622,0.95,0.12175,17.74506,0.0,-7.97746
131,0.35887,-377.27454,-3.14395,0.0,2.1544,1.05159,0.949,0.12211,17.72545,0.0,-7.85526
132,0.3584,-284.87188,-2.37393,0.0,2.10477,1.04895,0.9395,0.13508,19.64113,0.0,-7.64476
133,0.35793,-198.44733,-1.65373,0.0,0.85438,1.02735,0.9495,0.12647,13.15828,0.0,-7.40033
134,0.35747,-365.58248,-3.04652,0.0,0.47919,1.05673,0.937,0.15027,9.77563,0.0,-7.32512
135,0.357,-211.12012,-1.75933,0.0,0.95002,1.03906,0.94058,0.1308,13.75242,0.0,-7.21798
136,0.35653,-843.92027,-7.03267,0.0,0.46575,1.24121,0.92367,0.15219,12.06724,0.0,-7.36412
137,0.35607,-231.14731,-1.92623,0.0,0.0,1.05551,0.93017,0.13107,3.01746,0.0,-7.31228
138,0.3556,-88.5658,-0.73805,0.0,0.0,1.01468,0.93883,0.12329,1.26155,0.0,-7.15564
139,0.35513,-195.49337,-1.62911,0.0,0.0,1.03522,0.93492,0.11882,2.74823,0.0,-7.06942
140,0.35467,-773.75276,-6.44794,0.0,0.0,1.23746,0.9195,0.15743,4.45579,0.0,-7.20309
141,0.3542,-66.35303,-0.55294,0.0,0.0,1.03357,0.94833,0.1279,0.83321,0.0,-7.09017
142,0.35373,-716.66275,-5.97219,0.0,0.0,1.18436,0.91483,0.1534,1.73548,0.0,-7.19224
143,0.35327,-987.41696,-8.22847,0.0,0.0,1.30324,0.91375,0.15396,0.0,0.0,-7.42531
144,0.3528,-135.90304,-1.13253,0.0,0.05708,1.0295,0.93783,0.13405,6.07462,0.0,-7.32193
145,0.35233,-393.50379,-3.2792,0.0,0.0,1.09326,0.93408,0.14018,0.76069,0.0,-7.26734
146,0.35187,-983.97415,-8.19978,0.0,0.03678,1.28201,0.92142,0.15304,3.79283,0.0,-7.49779
147,0.3514,-961.70783,-8.01423,0.0,0.0,1.27743,0.92342,0.15004,0.0,0.0,-7.74571
148,0.35093,-1249.888,-10.41573,0.0,0.0,1.43825,0.90967,0.15825,0.0,0.0,-8.07881
149,0.35047,-915.28525,-7.62738,0.0,0.0,1.33492,0.92242,0.13426,0.06194,0.0,-8.2852
150,0.35,-839.45196,-6.99543,0.0,0.0,1.33533,0.92333,0.16017,4.24319,0.0,-8.46072
151,0.34953,-360.36069,-3.00301,0.0,0.0,1.07222,0.93808,0.12712,0.00959,0.0,-8.39832
152,0.34907,-159.84363,-1.33203,0.0,0.40432,1.04446,0.94725,0.11938,9.2794,0.0,-8.20242
153,0.3486,-222.6616,-1.85551,0.0,1.33927,1.02978,0.9435,0.11957,13.37794,0.0,-8.04541
154,0.34813,-800.22895,-6.66857,0.0,0.67425,1.11098,0.93692,0.14735,16.05569,0.0,-8.04705
155,0.34767,-282.66185,-2.35552,0.0,0.0,1.07564,0.94042,0.14755,0.0322,0.0,-7.94815
156,0.3472,-242.44959,-2.02041,0.0,1.04477,1.03241,0.94558,0.11988,16.26334,0.0,-7.8742
157,0.34673,-218.9536,-1.82461,0.0,0.12166,1.04404,0.93692,0.12179,5.94067,0.0,-7.72344
158,0.34627,-96.01823,-0.80015,0.0,0.0,1.03575,0.94333,0.12712,1.18375,0.0,-7.57075
159,0.3458,-317.98939,-2.64991,0.0,1.11839,1.03197,0.94483,0.13154,14.57623,0.0,-7.52309
160,0.34533,-351.26375,-2.9272,0.0,1.46442,1.06462,0.94075,0.12694,18.62908,0.0,-7.50222
161,0.34487,-142.42177,-1.18685,0.0,0.0,1.04681,0.94092,0.12689,4.7298,0.0,-7.39195
162,0.3444,-63.68348,-0.5307,0.0,0.0,1.05298,0.9365,0.12539,0.72465,0.0,-7.23968
163,0.34393,-248.7284,-2.07274,0.0,0.45205,1.02389,0.94683,0.11952,11.51436,0.0,-7.21302
164,0.34347,-844.2162,-7.03514,0.0,0.0,1.15336,0.91458,0.152,0.00538,0.0,-7.414
165,0.343,-1081.36,-9.01133,0.0,0.0,1.31794,0.9075,0.16121,0.02846,0.0,-7.69933
166,0.34253,-1109.07916,-9.24233,0.0,0.0,1.38041,0.91667,0.1581,0.0,0.0,-8.00787
167,0.34207,-778.96356,-6.49136,0.0,0.0,1.32297,0.92367,0.15152,0.80355,0.0,-8.16743
168,0.3416,-969.67186,-8.0806,0.0,0.0,1.26455,0.92475,0.13764,0.0,0.0,-8.38914
169,0.34113,-663.2021,-5.52668,0.0,0.0,1.20605,0.93933,0.13977,3.85802,0.0,-8.48867
170,0.34067,-1209.05062,-10.07542,0.0,0.0,1.43098,0.90592,0.1482,0.00691,0.0,-8.77475
171,0.3402,-848.85358,-7.07378,0.0,0.0,1.24972,0.92942,0.13842,0.98258,0.0,-8.90702
172,0.33973,-973.19806,-8.10998,0.0,0.0,1.38207,0.90708,0.14913,0.0,0.0,-9.08434
173,0.33927,-823.34593,-6.86122,0.0,0.0,1.27272,0.92117,0.13433,0.03193,0.0,-9.21386
174,0.3388,-1160.26781,-9.6689,0.0,0.0,1.38744,0.91108,0.15998,0.0,0.0,-9.47919
175,0.33833,-341.60801,-2.84673,0.0,0.1409,1.04251,0.94425,0.13563,8.08276,0.0,-9.37134
176,0.33787,-640.56865,-5.33807,0.0,0.0,1.07197,0.94208,0.13877,0.69341,0.0,-9.32108
177,0.3374,-91.62572,-0.76355,0.0,0.0,1.06915,0.93642,0.13417,2.4398,0.0,-9.0766
178,0.33693,-443.90563,-3.69921,0.0,0.0,1.06772,0.93417,0.14339,7.81802,0.0,-8.89991
179,0.33647,-233.69765,-1.94748,0.0,1.02952,1.04151,0.94575,0.12671,14.10617,0.0,-8.72869
180,0.336,-185.19036,-1.54325,0.0,0.9572,1.03647,0.93983,0.11455,11.12232,0.0,-8.50203
181,0.33553,-172.17545,-1.4348,0.0,0.13663,1.01914,0.95025,0.11156,7.16728,0.0,-8.31682
182,0.33507,-253.76422,-2.1147,0.0,0.74827,1.03812,0.94542,0.10811,12.01759,0.0,-8.17375
183,0.3346,-161.41141,-1.3451,0.0,0.34844,1.05345,0.93908,0.11817,9.84479,0.0,-7.99896
184,0.33413,-166.63102,-1.38859,0.0,0.0,1.04504,0.93775,0.12707,0.64561,0.0,-7.82547
185,0.33367,-491.17967,-4.09316,0.0,0.22801,1.09652,0.93,0.14014,6.70611,0.0,-7.8473
186,0.3332,-755.6453,-6.29704,0.0,0.0,1.18947,0.91675,0.1507,0.01438,0.0,-8.00575
187,0.33273,-1036.26472,-8.63554,0.0,0.0,1.31699,0.91483,0.1675,0.0,0.0,-8.27709
188,0.33227,-1154.50014,-9.62083,0.0,0.0,1.39259,0.90967,0.16092,0.0,0.0,-8.5962
189,0.3318,-913.99547,-7.61663,0.0,0.0,1.30238,0.92458,0.15013,0.00815,0.0,-8.8074
190,0.33133,-932.6291,-7.77191,0.0,0.0,1.34211,0.91683,0.13747,5.44032,0.0,-9.01732
191,0.33087,-957.33184,-7.97777,0.0,0.0,1.33315,0.91725,0.15559,0.11748,0.0,-9.25029
192,0.3304,-958.62914,-7.98858,0.0,0.0,1.36169,0.91058,0.14479,0.01064,0.0,-9.45879
193,0.32993,-818.0864,-6.81739,0.0,0.0,1.29651,0.92167,0.14821,0.30095,0.0,-9.60378
194,0.32947,-1278.84197,-10.65702,0.0,0.0,1.52001,0.89583,0.14738,0.0,0.0,-9.88946
195,0.329,-1077.33009,-8.97775,0.0,0.0,1.36678,0.91467,0.15052,0.0,0.0,-10.10385
196,0.32853,-1248.61389,-10.40512,0.0,0.0,1.38213,0.91192,0.15996,0.0,0.0,-10.35317
197,0.32807,-1210.71875,-10.08932,0.0,0.0,1.47468,0.89942,0.1501,0.0,0.0,-10.59271
198,0.3276,-216.4618,-1.80385,0.0,0.0,1.08159,0.93883,0.15643,0.78838,0.0,-10.34482
199,0.32713,-392.14704,-3.26789,0.0,0.0,1.07243,0.93817,0.14861,1.43307,0.0,-10.12055
200,0.32667,-141.65323,-1.18044,0.0,0.0,1.0593,0.93842,0.14121,1.11984,0.0,-9.89741
201,0.3262,-180.73235,-1.5061,0.0,0.0,1.07412,0.942,0.14241,5.05073,0.0,-9.61439
202,0.32573,-638.33522,-5.31946,0.0,0.62599,1.0959,0.94217,0.14561,12.97759,0.0,-9.56343
203,0.32527,-151.9627,-1.26636,0.0,0.0,1.04061,0.9425,0.13014,4.42625,0.0,-9.43187
204,0.3248,-317.63682,-2.64697,0.0,0.0,1.04695,0.945,0.12117,5.64795,0.0,-9.29966
205,0.32433,-119.08086,-0.99234,0.0,0.0,1.03892,0.93892,0.13682,0.3345,0.0,-9.11049
206,0.32387,-235.06624,-1.95889,0.0,0.09132,1.05481,0.93775,0.12556,5.45555,0.0,-8.9533
207,0.3234,-291.96961,-2.43308,0.0,0.79113,1.06921,0.946,0.13647,10.13643,0.0,-8.89906
208,0.32293,-662.19987,-5.51833,0.0,0.91859,1.11372,0.93225,0.14024,10.79442,0.0,-8.96832
209,0.32247,-1051.83361,-8.76528,0.0,0.0,1.31855,0.91108,0.16612,0.00237,0.0,-9.20237
210,0.322,-1050.27204,-8.75227,0.0,0.0,1.38989,0.91367,0.15758,0.0,0.0,-9.44958
211,0.32153,-1245.60627,-10.38005,0.0,0.0,1.38927,0.91192,0.16467,0.0,0.0,-9.77041
212,0.32107,-1175.96621,-9.79972,0.0,0.0,1.44284,0.904,0.1506,0.00156,0.0,-10.03302
213,0.3206,-1305.27301,-10.87728,0.0,0.0,1.41662,0.907,0.16358,0.0,0.0,-10.3324
214,0.32013,-1110.46295,-9.25386,0.0,0.0,1.32502,0.91425,0.15865,0.0,0.0,-10.57421
215,0.31967,-1074.64858,-8.9554,0.0,0.0,1.3851,0.91817,0.15102,0.00204,0.0,-10.78563
216,0.3192,-1139.15747,-9.49298,0.0,0.0,1.41637,0.91183,0.14727,0.00109,0.0,-11.00997
217,0.31873,-849.38289,-7.07819,0.0,0.0,1.21669,0.93575,0.13892,0.79501,0.0,-11.08154
218,0.31827,-1125.76052,-9.38134,0.0,0.0,1.32073,0.91142,0.15484,0.0,0.0,-11.30808
219,0.3178,-1054.95528,-8.79129,0.0,0.0,1.31125,0.91792,0.15261,0.0,0.0,-11.46127
220,0.31733,-1053.13934,-8.77616,0.0,0.0,1.34089,0.91992,0.15362,0.0,0.0,-11.6175
221,0.31687,-722.11063,-6.01759,0.0,0.54051,1.11086,0.93833,0.12482,12.08007,0.0,-11.65278
222,0.3164,-1267.33527,-10.56113,0.0,0.0,1.42361,0.90833,0.16119,0.0,0.0,-11.84745
223,0.31593,-696.98046,-5.80817,0.0,0.0,1.25545,0.92117,0.12981,0.22511,0.0,-11.8656
224,0.31547,-287.66144,-2.39718,0.0,0.0,1.10184,0.9485,0.11478,0.38784,0.0,-11.74885
225,0.315,-754.46265,-6.28719,0.0,0.52778,1.18401,0.9405,0.12321,16.07944,0.0,-11.80849
226,0.31453,-219.902,-1.83252,0.0,0.98137,1.04712,0.94817,0.13293,13.78077,0.0,-11.66649
227,0.31407,-567.75991,-4.73133,0.0,0.0,1.11859,0.94317,0.16071,1.03146,0.0,-11.4201
228,0.3136,-522.78004,-4.3565,0.0,0.7187,1.1377,0.93392,0.15299,11.95423,0.0,-11.2592
229,0.31313,-202.1121,-1.68427,0.0,0.02408,1.01695,0.95342,0.11639,8.25546,0.0,-11.14007
230,0.31267,-224.88397,-1.87403,0.0,0.76245,1.04033,0.95633,0.12323,12.09851,0.0,-10.83544
231,0.3122,-227.26724,-1.89389,0.0,0.36584,1.0287,0.95542,0.12368,14.1238,0.0,-10.62455
232,0.31173,-307.64347,-2.5637,0.0,0.0,1.08968,0.94233,0.12299,2.74741,0.0,-10.30626
233,0.31127,-119.92664,-0.99939,0.0,0.0,1.06095,0.93758,0.13603,1.59207,0.0,-10.0574
234,0.3108,-97.6804,-0.814,0.0,0.0,1.06344,0.93725,0.12519,0.10035,0.0,-9.76964
235,0.31033,-104.52894,-0.87107,0.0,0.0,1.03483,0.94583,0.11934,4.23287,0.0,-9.61924
236,0.30987,-176.59472,-1.47162,0.0,0.2571,1.04611,0.93575,0.1253,8.8629,0.0,-9.46445
237,0.3094,-69.1756,-0.57646,0.0,0.0,1.03205,0.94225,0.12296,1.04373,0.0,-9.29775
238,0.30893,-70.88802,-0.59073,0.0,0.0,1.02156,0.95117,0.10387,0.15568,0.0,-9.14214
239,0.30847,-142.25685,-1.18547,0.0,0.0,1.02518,0.945,0.11702,0.08136,0.0,-9.02828
240,0.308,-114.57286,-0.95477,0.0,0.0,1.02413,0.9435,0.11163,3.39472,0.0,-8.88838
241,0.30753,-134.78533,-1.12321,0.0,0.1425,1.03186,0.9515,0.11775,7.05816,0.0,-8.78419
242,0.30707,-160.87468,-1.34062,0.0,0.0,1.0336,0.94033,0.11889,6.08284,0.0,-8.67836
